CITY,LATITUDE,LONGITUDE
ahsen,51.7,7.3167
ahsen oetz,52.9667,9.0833
ahstedt,52.2167,10.1
ahutte,50.3333,6.7667
aibling,47.8667,12
aich,48.6167,9.2333
aicha,48.4667,11.1333
aicha vorm wald,48.6833,13.3
aichach,48.4667,11.1333
aichat,48.0333,12.0333
aichelau,48.2833,9.4
aichelberg,48.6333,9.5667
aichen,47.6833,8.2667
aichhalden,48.2667,8.4167
aichhof,49.1667,11.8
aichschiess,48.75,9.4
aichstetten,47.9,10.0833
aichtal,48.6333,9.2667
aichwald,48.7667,9.3833
aidenau,49.3667,10.2667
aidenbach,48.5667,13.1
aidenried,47.95,11.15
aidhausen,50.15,10.4333
aidling,47.7167,11.25
aidlingen,48.6667,8.9167
aigan,48.3,13.2667
aigen,48.3,13.2667
aigendorf,48.1667,9.7167
aiging,47.9,12.6167
aiglkofen,48.5667,12.5333
aiglsbach,48.7,11.7167
aiglsdorf,48.5167,11.7833
aiglsod,48.5833,13.8
aigner,48.3333,13.1833
ailertchen,50.6,7.9333
ailingen,47.6833,9.5
ailringen,49.3736,9.7536
ailsbach,49.7167,10.7167
aindling,48.5167,10.95
aindorf,47.9833,12.3667
ainghausen,51.4,7.9333
ainhofen,48.4,11.3833
ainring,47.8167,12.95
airlenbach,49.5892,8.9258
aisch,49.7167,10.8833
aischfeld,48.3333,8.4667
aising,47.8333,12.1167
aislingen,48.5,10.45
aistaig,48.3167,8.5667
aiterbach,48.45,11.6
aiterhofen,48.85,12.6167
aitern,47.8,7.9
aitersteinering,48.1667,11.9333
aitrach,47.9333,10.0833
aitrang,47.8167,10.5333
aixheim,48.1,8.6833
aix la chapelle,50.7708,6.1053
akademisch neuendorf,54.0833,13.5167
aken,51.85,12.05
alach,50.9833,10.9333
albach,50.55,8.8
albaching,48.1167,12.1167
albachten,51.9333,7.5333
albaxen,51.8167,9.4
albbruck,47.6,8.1333
albeck,48.4833,10.05
alber,48.4167,10
albernau,50.55,12.65
albernhof,49.3667,12.65
alberoda,50.6167,12.7167
alberode,51.1833,9.9333
albers,47.9167,9.9333
albersbach,49.5,7.55
albersdorf,51.2833,12.2667
albershausen,48.6833,9.5667
albersloh,51.8667,7.75
albersreuth,49.3,10.9167
albersrieth,49.6667,12.3
albersroda,51.2833,11.7167
alberstedt,51.45,11.6333
albersweiler,49.2192,8.03
albert,47.5833,8.1167
albertaich,48.0167,12.3667
alberthofen,50.6333,7.6167
albertinenhof,53.4333,11
albertsdorf,54.1167,12.2333
albertshausen,49.6936,9.93
albertshausen bei bad kissingen,50.2,9.9833
albertshofen,47.7833,9.6333
albertstadt,51.0833,13.7667
alberweiler,47.6667,9.6667
alberzell,48.45,11.3333
albessen,49.5167,7.3333
albfuhren,47.6333,8.4833
albig,49.7736,8.1214
albingshausen,50.2833,10.6167
albis,47.6333,10.35
albisheim,49.6494,8.0967
albishofen,47.9333,10.2333
albrechts,50.6167,10.6333
albrechts teerofen,52.4,13.1667
albrechtshain,51.3,12.5667
albrechtshof,53.3333,14.1167
albringen,51.3833,7.9
albsfelde,53.6833,10.7
albshausen,50.55,8.4333
albsheim,49.5822,8.1825
albstadt,48.25,9.0167
albstedt,53.3333,8.7167
albungen,51.2333,10
aldekerk,51.4333,6.4333
aldenhoven,50.9,6.2833
aldenrade,51.5167,6.7333
aldersbach,48.6,13.0833
aldingen,48.1,8.7
aldorf,52.7333,8.5
aleman,51.5,10.5
alendorf,50.3667,6.65
alerheim,48.85,10.6167
alesheim,49.05,10.8667
aletshausen,48.2,10.3833
alexander,51.3,8.3667
alexanderdorf,52.1667,13.3333
alexandersbad,50.0167,12.0167
alf,50.05,7.1167
alfdorf,48.85,9.7167
alfeld,51.9833,9.8333
alfen,51.65,8.7
alfhausen,52.5,7.95
alflen,50.1833,7.0333
alfstedt,53.55,9.0667
alfter,50.7333,7.0167
alfter gielsdorf,50.7333,7.0167
algenroth,50.1667,7.8833
algenstedt,52.6,11.45
algermissen,52.25,9.9667
algertshausen,48.4667,11.1167
algishofen,48.9167,9.9
alhausen,51.75,9.05
alheim,51.0333,9.6667
aligse,52.4,9.9833
alitzheim,49.9333,10.3333
aljarn,53.1667,10.6167
alken,50.25,7.45
alkersleben,50.85,11.0333
alkersum,54.7167,8.5167
alkofen,48.6333,13.1333
alkoven,48.6333,13.1333
allach,48.2,11.45
alladorf,49.9667,11.3833
allagen,51.4833,8.2333
allee,53.75,10.2167
allemuhl,49.4272,8.9558
allenbach,49.75,7.1667
allenberg,48.45,11.2167
allenbuttel,52.4167,10.6333
allendorf,51.2833,9.9833
allendorf an der lahn,50.55,8.6167
allendorf an der lumda,50.6833,8.8333
allendorf eder,51.0333,8.6667
allenfeld,49.8667,7.6667
allensbach,47.7167,9.0667
allerbuttel,52.4167,10.6333
allerheilgen,51.1333,6.75
alleringersleben,52.2167,11.1333
allermohe,53.4833,10.1333
allersbach,48.4667,12.45
allersberg,49.2542,11.2411
allersburg,49.3,11.7833
allersdorf,50.6167,11.0667
allersehl,52.7333,10.5167
allersfelden,49.1167,11.6167
allershagen,54.0833,12
allershausen,51.65,9.65
allerstedt,51.25,11.45
allertsham,48.0167,12.3667
allertshausen,50.65,8.85
allertshofen,49.7467,8.7158
alleshausen,48.1,9.6167
allewinden,47.7333,9.8333
allfeld,49.3253,9.2411
alling,48.15,11.3
allinghausen,50.9833,7.6333
allisreute,47.7,9.6667
allmannshausen,47.9333,11.35
allmannshofen,48.6167,10.8
allmannsweier,48.3667,7.7833
allmannsweiler,47.6667,9.5
allmendingen,48.3333,9.7167
allmenhausen,51.2333,10.7333
allmersbach,48.9833,9.3833
allmersbach am weinberg,48.9833,9.3833
allmersbach im tal,48.9,9.4667
allmershausen,50.8833,9.65
allmethofen,48.1333,9.95
allmosen,51.5833,14.1
allmus,50.6,9.8167
allna,50.7667,8.6667
allrode,51.6833,10.9667
allstedt,51.4,11.3833
allworden,53.8167,9.3
allzunah,50.6167,10.8667
almdorf,54.5833,9.0167
alme,51.45,8.6167
almena,52.1,9.0833
almersbach,50.6833,7.6333
almerswind,50.3833,11
almertsham,47.95,12.3167
almke,52.35,10.85
almsdorf,51.2667,11.8667
almstedt,52.05,9.9667
alpe,50.9667,7.5667
alpen,51.5833,6.5167
alpenrod,50.6333,7.8667
alperstedt,51.1,11.05
alpirsbach,48.3333,8.4167
alsbach,50.4667,7.6667
alsbach hahnlein,49.7386,8.5958
alsberg,50.2667,9.4167
alsdorf,50.8833,6.1667
alse,50.75,7.55
alsenberg,50.3,11.9333
